_id,workup,treatment,symptoms,name,description,other_specific_tests,has_inteli_health_additions
1,A history and physical exam will be performed. An abdominal aortic aneurysm can be diagnosed by ultrasound or CT scan. A CT scan is the best way the doctor can determine if the aneurysm is bleeding.,"An abdominal aortic aneurysm can be repaired surgically, or with a special catheter and an intra-abdominal sheath. Some aneurysms, usually less than 5 centimeters, can be treated with watchful waiting.","An abdominal aortic aneurysm can cause abdominal pain, back pain, vomiting, weakness, fainting or death. Some patients may not have symptoms especially if the aneurysm is small.",Abdominal aortic aneurysm (enlarged major blood vessel),"A weakened portion of the abdominal aorta that expands. The abdominal aorta is the large artery in the abdomen that carries blood to the abdomen and legs. This weakened section can continue to expand, dissect, or rupture. A rupture of the aneurysm is a life threatening condition, leading to rapid blood loss and if left untreated death. A dissection of the aorta is a separation of the layers of the aorta and can occlude blood vessels to the abdominal organs (intestines, kidneys, etc.) and legs.",,1
2,"A history and physical exam will be performed. Lab tests will be done to look for evidence of advanced liver disease, infection or low blood protein (albumin). Additional tests include: X-ray or CT scan to diagnose an intestinal obstruction or the cause of abnormal fluid collection (ascites).","Depends on the cause of the swelling but may include: drainage of fluid (paracentesis), decompression of the stomach and upper intestine (NG tube), enemas, diuretics, and/or surgery.","Abdominal distention, abdominal pain.",Abdominal swelling,Swelling of the abdomen is usually from a build-up of fluid (ascites) or from excess air in the intestines.,,0
3,"A history and physical exam will be performed. Abdominal CT scan, MRI and/or ultrasound will be performed to identify the injured organs. Blood tests will be performed to help determine the severity of the injury.","Depends on the injury but may include observation, intravenous fluids, blood transfusions, and/or surgery.","Abdominal pain, vomiting, distention, bloody urine, bloody stool, fainting, low blood pressure.",Abdominal trauma,"Two main causes: penetrating trauma from gunshot wounds or stabbing, or blunt trauma from a motor vehicle accident or fall. Any of the organs can be damaged including: intestines, stomach, liver, spleen, kidneys, bladder, or aorta.",,0
4,A simple examination of the abrasion is all that is needed.,"Cleaning with as much dirt removal as possible, followed by bandaging of the wound. ",An abrasion causes pain and bleeding.,Abrasions (scrapes),"A partial thickness injury of the skin, often from scraping it.",,0
5,A history and physical exam will be performed.,Stopping the medication usually reverses the adverse effects.,"Persistent throat tickle and cough, low blood pressure, weakness lip/tongue swelling.",ACE inhibitor induced cough (blood pressure medication side effect),"ACE inhibitors are angiotensin-converting enzyme inhibitors and are prescribed for blood pressure control and/or heart failure. Common drugs are lisinopril, captopril, enalapril, and ramipril. Most common side effect is persistent throat tickle and cough. Other side effects include low blood pressure and swelling of the lips and tongue (angioedema).",,0
6,A history and physical exam will be performed. An acetaminophen (Tylenol) level is measured as well as liver function tests.,"The antidote, Mucomyst (N-acetylcysteine) is given orally or intravenously. Mucomyst helps the body neutralize toxic metabolites.

For more information and help call your local poison center at 1-800-222-1222.","Nausea, vomiting, yellow eyes and skin, confusion, weakness, death.",Tylenol (acetaminophen) overdose,"Acetaminophen is primarily metabolized by the liver. Too much acetaminophen (Tylenol) can overwhelm the liver, thus producing toxic substances that can destroy the liver, resulting in death.",,0
7,A history and physical exam will be performed. An acetaminophen (Tylenol) level is measured as well as liver function tests.,"The antidote, Mucomyst (N-acetylcysteine) is given orally or intravenously. Mucomyst helps the body neutralize toxic metabolites.

For more information and help call your local poison center at 1-800-222-1222.","Nausea, vomiting, yellow eyes and skin, confusion, weakness, death.",Tylenol (acetaminophen) poisoning,"Acetaminophen is primarily metabolized by the liver. Too much acetaminophen (Tylenol) can overwhelm the liver, thereby producing toxic substances that can destroy the liver, resulting in death.",,0
8,"A history and physical exam will be performed.
","Treatment consists of immobilization, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve), acetaminophen (Tylenol), and ice.","Pain in the back of the ankle, decreased ankle movement, swelling of back of ankle.",Achilles tendonitis (heel tendon inflammation),"Inflammation (swelling) of the Achilles tendon that extends from the lower calf to the heel. Pain is located in the back of the ankle and worsens with walking.
",,0
9,A history and physical exam will be performed. Additional tests may include ultrasound or MRI.,Casting with the toes pointing slightly downward. Surgical repair is sometimes necessary.,"Pain, worse with movement, weakness or inability to flex the foot downward, swelling in the back of the ankle.",Achilles tendon rupture (heel tendon tear),"A rupture of the Achilles tendon that extends from the lower calf to the heel. The injury most often occurs playing sports while running or jumping. Many people feel or hear a &quot;pop&quot; in the back of their ankle.
",,0
10,A history and physical exam will be performed to rule out other causes of hallucinations and agitation.,"The goal of therapy is to support the patient's vital signs, and prevent the patient from hurting themselves. Treatment includes: benzodiazepines (diazepam/Valium, lorazepam/Ativan) and other sedatives.

For more information and help call your local poison center at 1-800-222-1222.","Agitation, hallucination, sweating, confusion.",Acid (LSD) abuse,"LSD, also called acid, is a street drug taken for its hallucinogenic effects. LSD is produced and sold in the following forms: liquid, blotter paper, sugar cubes, gelatin squares, and tablets. Frequent users of LSD may have flashbacks (certain aspects of the LSD experience recur). Users are at increased risk of anxiety, depression, and/or psychosis.",,0
